Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,PP_G,PP_A,SH_G,SH_A,Def_Hits,Def_BS
Michael McLeod,NJ,C,45,10,9,19,6,10,73,2,0,0,0,0,82,22
Ilya Mikheyev,VAN,RW,45,10,13,23,4,4,92,1,0,0,0,0,21,7
Michael Bunting,CAR,LW,47,10,21,31,-15,41,75,1,5,9,0,0,15,13
Jake Walman,DET,D,43,10,8,18,5,24,72,2,1,3,0,1,19,122
Warren Foegele,EDM,LW,45,10,16,26,0,30,109,1,1,0,0,1,45,19
Sam Lafferty,VAN,RW,49,10,10,20,16,28,49,3,0,0,1,0,76,26
Pavel Zacha,BOS,C,45,10,20,30,8,12,83,3,2,7,0,0,47,16
Anthony Cirelli,TB,C,49,10,15,25,-5,30,90,0,3,1,0,0,26,46
Andrew Copp,DET,C,48,10,14,24,3,18,81,2,1,1,1,1,8,27
Jonathan Drouin,COL,C,47,10,18,28,0,18,66,0,4,7,0,0,25,18
Erik Haula,NJ,C,41,10,13,23,-3,28,82,2,1,2,1,1,41,15
Roman Josi,NSH,D,49,10,32,42,-2,25,159,2,5,13,0,1,31,88
Nick Bjugstad,ARI,C,48,10,17,27,1,32,99,1,2,3,1,0,63,28
Jaden Schwartz,SEA,LW,32,10,11,21,-12,10,68,0,5,3,0,0,20,17
Kevin Hayes,STL,C,47,10,11,21,-1,8,84,2,0,4,0,0,24,13
Calle Jarnkrok,TOR,C,46,10,9,19,13,16,85,3,0,1,1,1,34,13
Sean Couturier,PHI,C,46,10,21,31,8,16,135,2,3,3,0,1,14,27
Mikael Backlund,CGY,C,49,10,15,25,8,16,138,2,1,1,1,1,35,21
David Perron,DET,RW,43,10,13,23,-12,35,78,3,6,6,0,0,37,13
Evgenii Dadonov,DAL,RW,47,10,11,21,-9,6,60,3,1,1,0,0,21,18
Dylan Cozens,BUF,C,46,10,19,29,-3,31,116,1,1,4,0,0,40,18
Tim Stutzle,OTT,LW,45,10,35,45,-5,16,126,2,0,9,0,0,44,21
Connor Zary,CGY,C,39,10,13,23,14,10,49,1,1,2,0,0,8,15
Tyson Foerster,PHI,RW,49,9,11,20,3,22,103,0,3,3,0,0,37,34
Luke Evangelista,NSH,RW,48,9,13,22,-2,14,88,0,1,3,0,0,18,18
Jesperi Kotkaniemi,CAR,LW,48,9,9,18,-11,28,92,0,1,1,0,1,28,24
Joe Veleno,DET,C,47,9,10,19,-10,6,56,1,2,1,0,1,41,21
Ryan McLeod,EDM,C,44,9,10,19,11,4,65,3,0,1,0,1,32,13
Oliver Ekman-Larsson,FLA,D,49,9,16,25,-4,44,80,3,1,10,0,0,38,49
